index,premise,hypothesis,pattern,type,section_id,pattern_label,lexical_jaccard,lexical_coverage,digits_premise,digits_hypothesis,pct_premise,pct_hypothesis,units_premise,units_hypothesis,numeric_total,neg_premise,neg_hypothesis,neg_total,words_premise,words_hypothesis,trial_primary,trial_secondary
238,"Adverse Events 1:
  Total: 1/9 (11.11%)
  Death, not otherwise specified 0/9 (0.00%)
  Pain, bone 1/9 (11.11%)
Adverse Events 2:
  Total: 1/9 (11.11%)
  Death, not otherwise specified 1/9 (11.11%)
  Pain, bone 0/9 (0.00%)

Adverse Events 1:
  Total: 1/208 (0.48%)
  Neutrophils/granulocytes (ANC/AGC) 1/208 (0.48%)
Adverse Events 2:
  Total: 0/201 (0.00%)
  Neutrophils/granulocytes (ANC/AGC) 0/201 (0.00%)",Across both the primary trial and the secondary trial over 10 deaths were recorded in the adverse events.,11,Comparison,Adverse Events,Les 2 corrects,0.05714285714285714,0.13333333333333333,66.0,2.0,10.0,0.0,0.0,0.0,78.0,2.0,0.0,2.0,76.0,18.0,1.0,1.0
239,"Breast tumor 1 centimeter (cm) in diameter, HR+, HER2-.

DISEASE CHARACTERISTICS:
  Diagnosis of locally advanced or metastatic breast cancer
  Recurrent, refractory or progressive disease after receiving prior anthracycline, taxane, and capecitabine therapy
  Prior anthracycline and taxane therapy may have been as neoadjuvant, or adjuvant therapy if disease progression is documented within a year of completing that agent
  Received prior capecitabine therapy for metastatic or recurrent disease
  Measurable disease
  Bone metastases requires other disease present that can be measured
  No brain metastases, unless documented to be controlled post-completion of local therapy (surgery and/or radiation therapy) for at least 4 weeks
  No meningeal carcinomatosis
  No malignant effusion as the only site of disease recurrence
  Hormone receptor status not specified
  PATIENT CHARACTERISTICS:
  Menopausal status not specified
  Performance status of 0-2
  Creatinine  1.5 mg/dL OR creatinine clearance  40 mL/min
  Hemoglobin  10 g/dL
  ANC  1,500/mm^3
  Platelet count  100,000/mm^3
  Bilirubin normal or hyperbilirubinemia < grade 1 (unless due to Gilbert syndrome with elevated total but normal levels of conjugated bilirubin)
  Not pregnant or nursing
  Fertile patients must use effective contraception
  No other non-breast malignancy, except nonmelanoma skin cancer
  No other serious underlying medical condition, that in the opinion of the treating physician, would make study protocol unreasonably hazardous for the patient or would preclude the patient's ability to comply with the study protocol
  PRIOR CONCURRENT THERAPY:
  See Disease Characteristic
  Recovered from all prior chemotherapy or radiotherapy to NCI CTC grade  1
  Unlimited documented prior chemotherapy regimens allowed
  No prior irinotecan hydrochloride or etoposide
  No Hypericum perforatum (St. John's wort) 14 days prior to, during, or 7 days after completion of study therapy
  At least 7 days since prior and no concurrent phenytoin, carbamazepine, phenobarbital, or any other enzyme-inducing anticonvulsant drug (EIACD)
  No concurrent aprepitant","Patients with a breast tumor 0.2-0.8 cm in diameter, with confirmed HR positive and her2 negative status are eligible for both the primary trial and the secondary trial",00,Comparison,Eligibility,Les 2 en erreur,0.08163265306122448,0.6153846153846154,29.0,5.0,0.0,0.0,7.0,0.0,41.0,14.0,0.0,14.0,304.0,31.0,1.0,1.0
240,"Adverse Events 1:
  Total: 77/122 (63.11%)
  Anaemia 1/122 (0.82%)
  Thrombocytopenia 1/122 (0.82%)
  Pericardial effusion 3/122 (2.46%)
  Supraventricular tachycardia 2/122 (1.64%)
  Acute myocardial infarction 1/122 (0.82%)
  Atrial fibrillation 1/122 (0.82%)
  Sinus tachycardia 1/122 (0.82%)
  Ventricular tachycardia 1/122 (0.82%)
  Hypothyroidism 1/122 (0.82%)
  Abdominal pain 4/122 (3.28%)

Adverse Events 1:
  Clostridium difficile colitis 0/6 (0.00%)",There are more cases of Biliary colic and Clostridium difficile colitis in the secondary trial than in the primary trial.,11,Comparison,Adverse Events,Les 2 corrects,0.058823529411764705,0.17647058823529413,86.0,0.0,12.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,76.0,20.0,1.0,1.0
241,"Outcome Measurement: 
  Pathologic Complete Response in Breast and Axillary Lymph Nodes.
  Number of participants with no histologic evidence of invasive tumor cells in the surgical breast specimen, axillary nodes after neoadjuvant chemotherapy
  Time frame: At time of surgery, approximately 7 months
Results 1: 
  Arm/Group Title: Arm 1: Paclitaxel + Trastuzumab Then A C
  Arm/Group Description: 4 cycles of paclitaxel 80 mg/m2 on Days 1, 8, and 15 of a 28-day cycle. Trastuzumab concurrently with paclitaxel weekly for a total of 16 doses (4 mg/kg loading dose, then 2 mg/kg weekly). Following paclitaxel/trastuzumab, standard AC every 21 days for 4 cycles. Following surgery, trastuzumab (8 mg/kg loading dose, then 6 mg/kg) every 3 weeks to complete 1 year of targeted therapy (either preoperative trastuzumab therapy or neratinib therapy)
  Paclitaxel
  Trastuzumab
  Doxorubicin
  Cyclophosphamide
  Overall Number of Participants Analyzed: 42
  Measure Type: Count of Participants
  Unit of Measure: Participants  16  38.1%
Results 2: 
  Arm/Group Title: Arm 2: Paclitaxel + Neratinib Then A C
  Arm/Group Description: 4 cycles of paclitaxel 80 mg/m2 on Days 1, 8, and 15 of a 28-day cycle. Neratinib 240 mg orally once daily beginning on Day 1 of paclitaxel and continuing through Day 28 of the final cycle of paclitaxel. Following paclitaxel/neratinib therapy, standard AC every 21 days for 4 cycles. Following surgery, trastuzumab (8 mg/kg loading dose, then 6 mg/kg) every 3 weeks to complete 1 year of targeted therapy (either preoperative trastuzumab therapy or neratinib therapy)
  Paclitaxel
  Neratinib
  Doxorubicin
  Cyclophosphamide
  Overall Number of Participants Analyzed: 42
  Measure Type: Count of Participants
  Unit of Measure: Participants  14  33.3%",More than 42 patients in both cohorts of the primary trial experienced Pathologic Complete Response in Breast and Axillary Lymph Nodes after approximately 7 months after the surgery,11,Single,Results,Les 2 corrects,0.15315315315315314,0.68,63.0,3.0,2.0,0.0,21.0,1.0,90.0,1.0,0.0,1.0,276.0,28.0,1.0,0.0
242,"Inclusion Criteria:
  Women histologically diagnosed with carcinoma of the breast
  Women with non-palpable malignant lesions, requiring image guided localization.
  Undergoing lumpectomy (partial mastectomy) procedure.
  Age 18 years or more
  Signed ICF
Exclusion Criteria:
  Multicentric disease (histologically diagnosed cancer in two different quadrants of the breast)
  Bilateral disease (diagnosed cancer in both breasts)
  Neoadjuvant systemic therapy
  Previous radiation in the operated breast
  Prior surgical procedure in the same breast
  Implants in the operated breast
  Pregnancy
  Lactation
  Participating in any other investigational study for either drug or device which can influence collection of valid data under this study.

Inclusion Criteria:
  Patients undergoing immediate tissue expander reconstruction following mastectomy by any of the surgeon co-investigators are eligible for the study.
  Patients 18 years of age or older are eligible for the study.
  Patients undergoing skin-sparing mastectomy utilizing bioprosthetic mesh are eligible for the study.
  Patients who have not undergone autologous tissue breast reconstruction and intend to undergo implant only breast reconstruction.
  Patients who intend to remain under the MDACC surgeon's care until completion of the reconstruction.
Exclusion Criteria:
  Patients with prior radiation to the breast/chest wall of the ipsilateral breast .
  Patients who cannot be effectively reconstructed without the use of bioprosthetic mesh.
  Patients who are current smokers.
  Patients requiring additional intra-operative skin resections of greater than 1cm beyond the skin edge as a result of mastectomy flap devascularization.
  Patients who have a history of breast tissue expander or implant placement.",All patients eligible for the secondary trial are also eligible for the primary trial.,11,Comparison,Eligibility,Les 2 corrects,0.0364963503649635,0.5,5.0,0.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,3.0,243.0,14.0,1.0,1.0
243,"Adverse Events 1:
  Total: 0/4 (0.00%)
Adverse Events 2:
  Total: 0/5 (0.00%)

Adverse Events 1:
  Total: 1/50 (2.00%)
  Lymphoma  [1]1/50 (2.00%)
Adverse Events 2:
  Total: 0/11 (0.00%)
  Lymphoma  [1]0/11 (0.00%)",There are no unexpected deaths or Hospitalizations that occurred in the primary trial or the secondary trial,11,Comparison,Adverse Events,Les 2 corrects,0.0,0.0,40.0,0.0,6.0,0.0,0.0,0.0,46.0,0.0,1.0,1.0,44.0,17.0,1.0,1.0
244,"Outcome Measurement: 
  Invasive Disease-free Survival (iDFS) in Neratinib Arm Compared to Placebo Arm at Year 2
  Invasive disease-free survival time is defined as the time from date of randomization until the first disease recurrence of the following events: invasive ipsilateral breast tumor recurrence, invasive contralateral breast cancer, local/regional invasive recurrence, distant recurrence and death from any cause.
  Time frame: From randomization until time of event up to 2 years
Results 1: 
  Arm/Group Title: Neratinib
  Arm/Group Description: Patients who completed prior adjuvant trastuzumab received six 40 mg neratinib tablets (240 mg) taken orally once daily with food, preferably in the morning, continuously for one year. Therapy continued until unacceptable toxicity, recurrent disease, death, or withdrawal of consent occurred.
  Overall Number of Participants Analyzed: 1420
  Measure Type: Number
  Unit of Measure: percentage of participants with events  4.7
Results 2: 
  Arm/Group Title: Placebo
  Arm/Group Description: Patients who completed prior adjuvant trastuzumab received six 40 mg placebo tablets (240 mg) taken orally once daily with food, preferably in the morning, continuously for one year. Therapy continued until unacceptable toxicity, recurrent disease, death, or withdrawal of consent occurred.
  Overall Number of Participants Analyzed: 1420
  Measure Type: Number
  Unit of Measure: percentage of participants with events  7.5",The Neratinib group of the primary trial had a lower rate of iDFS than the placebo group,01,Single,Results,P1✗ KATE✓,0.058823529411764705,0.46153846153846156,26.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,0.0,0.0,210.0,17.0,1.0,0.0
245,"INTERVENTION 1: 
  Paced Breathing (15 Min Once Daily, 6 Breaths/Min)
  Patients practice paced breathing for 15 minutes once daily, 6 breaths/min, 5-7 days weekly, following an instructional compact disc (CD), for 8 weeks.
INTERVENTION 2: 
  Paced Breathing (15 Min Twice Daily, 6 Breaths/Min)
  Patients practice paced breathing for 15 minutes twice daily, 6 breaths/min, 5-7 days weekly, following an instructional compact disc (CD), for 8 weeks.","Cohorts 1 and 2 of the primary trial follow the same paced breathing instructional CD, however cohort 2 practices twice a day.",11,Single,Intervention,Les 2 corrects,0.17073170731707318,0.35,20.0,3.0,0.0,0.0,4.0,0.0,27.0,0.0,0.0,0.0,72.0,22.0,1.0,0.0
246,"Outcome Measurement: 
  Change in Cognitive Function Over 1 Year in Premenopausal Breast Cancer Patients Who Receive Adjuvant Tamoxifen (T) Alone Against Those Receive Adjuvant Tamoxifen (T+OFS) or Exemestane (E+OFS) With Ovarian Function Suppression (OFS)
  Objective cognitive function measured with CogState, a computerized test battery of 7 tasks: Detection, Identification, Monitoring, Memory, Learning, International Shopping List Task (ISLT) and ISLT-Delayed Recall. Performance speed is measured for Detection/Identification/Monitoring and performance accuracy is measured for Memory/Learning/ISLT/ISLT-Delayed Recall. Performance speed calculated as mean of the log10 transformed reaction time for correct responses (lower score=better); performance accuracy calculated as arcsine transformation of the proportion of correct responses (higher scores=better). Main outcome measure is a composite score (average of task scores after transformation and standardization by age-specific norms). A positive standardized score indicates that a patient performed better than average; a negative standardized score indicates below average results. Patients complete assessments at baseline and 1 year after randomization to parent IBCSG 24-02 (SOFT) study.
  Time frame: 1 year after patient randomization to parent IBCSG 24-02 study
Results 1: 
  Arm/Group Title: Tamoxifen
  Arm/Group Description: Tamoxifen 20mg orally daily for 5 years
  Overall Number of Participants Analyzed: 20
  Mean (Standard Deviation)
  Unit of Measure: standardized units  -.04         (0.49)
Results 2: 
  Arm/Group Title: Ovarian Function Suppression
  Arm/Group Description: Tamoxifen 20mg orally daily or Exemestane 25mg orally daily for 5 years plus ovarian function suppression (OFS; triptorelin (GnRH analogue) 3.75 mg by im injection q28 days for 5 years; or surgical oophorectomy; or ovarian irradiation)
  Note: Data were collected separately for the T+OFS and E+OFS participants in the parent study, IBCSG 24-02 (SOFT). The sample size for this Co-SOFT substudy was small, so the analysis plan was revised to pre-specify collective analysis for all patients receiving OFS.
  Overall Number of Participants Analyzed: 54
  Mean (Standard Deviation)
  Unit of Measure: standardized units  -0.21         (0.92)","On average both cohorts of the primary trial suffered a deterioration in cognitive function, however this was not the case for all patients",11,Single,Results,Les 2 corrects,0.06741573033707865,0.5454545454545454,49.0,0.0,0.0,0.0,11.0,0.0,60.0,0.0,1.0,1.0,330.0,23.0,1.0,0.0
247,"Outcome Measurement: 
  Proportion of Participants With Controlled Acute Vomiting
  No episodes of vomiting and no rescue medication during first 24 hours after cyclophosphamide administration.
  Time frame: at 0-24 hours
Results 1: 
  Arm/Group Title: Aprepitant, Dexamethasone, Cytoxan & Kytril
  Arm/Group Description: Day 1: 1 mg of Kytril orally or I.V., 10 mg of Dexamethasone orally, and Aprepitant 125 mg orally, 1 hour prior to cyclophosphamide administration.
  Cyclophosphamide 4gm/m2 I.V. over 90 - 120 minutes.
  Days 2 & 3: Aprepitant 80 mg once daily in the morning.
  Aprepitant: Aprepitant 80mg once daily in the morning on days 2 and 3
  Cyclophosphamide: Cyclophosphamide 4 gm/m2 I.V. over 90-120 minutes
  Dexamethasone: Dexamethasone orally 10 mg 1 hour prior to cyclophosphamide administration.
  Granisetron hydrochloride: Kytril 1 mg orally or I.V., 1 hour prior to cyclophosphamide administration.
  Overall Number of Participants Analyzed: 35
  Measure Type: Number
  Unit of Measure: participants  20","Over 50% of patients in cohort 1 of the primary trial suffered Acute Vomiting after treatment with Aprepitant, Dexamethasone, Cytoxan and Kytril",00,Single,Results,Les 2 en erreur,0.17073170731707318,0.6666666666666666,45.0,3.0,0.0,1.0,9.0,0.0,58.0,2.0,0.0,2.0,152.0,22.0,1.0,0.0
248,"INTERVENTION 1: 
  Reflexology Group
  The experimental group included 47 women with breast cancer scheduled for adjunctive radiation treatment. The women received reflexology treatment initiated at the beginning of radiation therapy, once a week (45 min each), for 10 weeks.

INTERVENTION 1: 
  Placebo
  Placebo (3 capsules of matching placebo) along with standard of care medication (Standard Dose Vitamin D3; 600 IU of vitamin D3 daily) given weekly for 24 weeks",The intervention in the secondary trial last 3 times longer than the intervention detailed in the primary trial.,10,Comparison,Intervention,P1✓ KATE✗,0.05263157894736842,0.25,16.0,1.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,69.0,18.0,1.0,1.0
249,"Adverse Events 1:
  Total: 0/20 (0.00%)

Adverse Events 1:
  Total: 2/35 (5.71%)
  Gastroesophageal reflux disease * 1/35 (2.86%)
  Ductal carcinoma in situ * 1/35 (2.86%)",There were 0 cases of Febrile neutropenia or Cholelithiasis in the primary trial and the secondary trial,01,Comparison,Adverse Events,P1✗ KATE✓,0.0625,0.13333333333333333,26.0,1.0,4.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,17.0,1.0,1.0
250,"Metastatic disease (M1)
  Multiple sites of new disease that is clinically obvious metastatic disease (e.g., multiple sites of new osseous disease)
  Measurable or nonmeasurable disease","Patients who's Metastasis cannot be measured, or who's Cancer has not spread to other parts of the body are not eligible for the primary trial",00,Single,Eligibility,Les 2 en erreur,0.05263157894736842,0.08695652173913043,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,26.0,27.0,1.0,0.0
251,"Outcome Measurement: 
  Recurrence-free Survival
  Recurrence-free survival curves will be plotted for subjects treated with stage I and II disease.
  Time frame: Time from the start of treatment to recurrence, second malignancy, or death as a first event, assessed up to 3 years
Results 1: 
  Arm/Group Title: Treatment (Chemotherapy With or Without Maintenance Therapy)
  Arm/Group Description: SYSTEMIC CHEMOTHERAPY: Patients receive cyclophosphamide IV over 1 hour and paclitaxel IV over 3 hours on day 1. Treatment repeats every 14 days for 6 courses in the absence of disease progression or unacceptable toxicity.
  MAINTENANCE THERAPY (Her-2 neu positive patients): Patients receive trastuzumab IV over 30 minutes on day 1. Treatment repeats every 14 days for 5 courses and then every 21 days for 14 courses in the absence of disease progression or unacceptable toxicity.
  cyclophosphamide, paclitaxel, trastuzumab: Given IV
  Overall Number of Participants Analyzed: 100
  Measure Type: Number
  Unit of Measure: percentage of subjects  98        (92.2 to 99.5)",Only 2 patients in the primary trial did not have Recurrence-free Survival,11,Single,Results,Les 2 corrects,0.0707070707070707,0.5384615384615384,30.0,1.0,0.0,0.0,4.0,0.0,35.0,0.0,1.0,1.0,162.0,13.0,1.0,0.0
252,"Adverse Events 1:
  Total: 6/50 (12.00%)
  Ventricular tachycardia 1/50 (2.00%)
  Fever  [1]1/50 (2.00%)
  Flu like symptoms 1/50 (2.00%)
  Catheter related infection 2/50 (4.00%)
  Suicidal ideation *  [2]1/50 (2.00%)
  Thromboembolic event 1/50 (2.00%)","There were severalpsychiatric adverse event in the primary trial, including an eating disorder and Schizophrenia",11,Single,Adverse Events,Les 2 corrects,0.05555555555555555,0.13333333333333333,46.0,0.0,7.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,47.0,15.0,1.0,0.0
253,"NUT midline carcinoma (ectopic expression of NUT protein as determined by immunohistochemistry (IHC) and/or detection of BRD-NUT gene translocation as determined by fluorescence In situ hybridization [FISH]);
  Castrate-resistant prostate cancer (CRPC);

Inclusion Criteria:
  a diagnosis of non-inflammatory breast adenocarcinoma (including in situ and bilateral)
  scheduled to begin radiotherapy without concurrent chemotherapy; concurrent hormone or Herceptin® (trastuzumab)treatment is okay
  can have been treated by lumpectomy or mastectomy with or without adjuvant or neoadjuvant chemotherapy or hormonal treatment
  can have had breast reconstruction
  scheduled to receive 25-35 radiation treatment sessions (1 session per day) using standard irradiation fractionation (1.8-2.0 Gy per sessions) OR 16-20 radiation treatment sessions (1 session per day) using Canadian irradiation fractionation (2.2-3.0 Gy per session)(100, 101).
  able to swallow medication.
  three weeks must have elapsed after chemotherapy and surgery before the patient can begin the study
  able to understand English
Exclusion Criteria:
  inflammatory breast cancer
  previous radiation therapy to the breast or chest
  concurrent chemotherapy treatment
  concurrent treatment with anti-coagulants (e.g., coumadin®, warfarin®), or anti-EGFR (human epidermal growth factor receptor) drugs (e.g. Iressa® (gefitinib), Erbitux® (cetuximab, C225); aspirin is allowed
  known radiosensitivity syndromes (e.g., Ataxia-telangiectasia)
  collagen vascular disease, unhealed surgical sites, or breast infections","Patients with NUT midline carcinoma determined by fluorescence In situ hybridization, or inflammatory breast cancer are eligible for both the primary trial and the secondary trial.",11,Comparison,Eligibility,Les 2 corrects,0.1103448275862069,0.6666666666666666,27.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,0.0,1.0,216.0,26.0,1.0,1.0
254,"Karnofsky score  70

  Zubrod performance score 2 or better.","Candidates for the primary trial and the secondary trial have to meet a baseline performance status, for the primary trial the baseline is a Karnofsky score >70, and for the secondary trial the baseline is a Karnofsky score >55",10,Comparison,Eligibility,P1✓ KATE✗,0.17391304347826086,0.21052631578947367,3.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,39.0,2.0,2.0
255,History of grade 3 or 4 allergic reactions attributed to trastuzumab.,Patients with a history of severe anaphylactic reactions to trastuzumab cannot take part in the primary trial.,11,Single,Eligibility,Les 2 corrects,0.21739130434782608,0.29411764705882354,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,17.0,1.0,0.0
256,"Adverse Events 1:
  Total: 0/42 (0.00%)

Adverse Events 1:
  Total: 6/6 (100.00%)
  Anemia1/6 (16.67%)
  Constipation1/6 (16.67%)
  Mucositis1/6 (16.67%)
  Vomiting0/6 (0.00%)
  Dehydration0/6 (0.00%)
  Abdominal pain0/6 (0.00%)
  Small intestinal obstruction0/6 (0.00%)
  Nausea0/6 (0.00%)
  Ascites0/6 (0.00%)
  Diarrhea0/6 (0.00%)
  Fatigue0/6 (0.00%)
  Death NOS1/6 (16.67%)
  Infection with grade 3 or 4 neutrophils0/6 (0.00%)
Adverse Events 2:
  Total: 6/6 (100.00%)
  Anemia0/6 (0.00%)
  Constipation0/6 (0.00%)
  Mucositis2/6 (33.33%)
  Vomiting1/6 (16.67%)
  Dehydration1/6 (16.67%)
  Abdominal pain0/6 (0.00%)
  Small intestinal obstruction0/6 (0.00%)
  Nausea0/6 (0.00%)
  Ascites0/6 (0.00%)
  Diarrhea0/6 (0.00%)
  Fatigue0/6 (0.00%)
  Death NOS0/6 (0.00%)
  Infection with grade 3 or 4 neutrophils1/6 (16.67%)",There were no patients in the primary trial or the secondary trial that suffered at less than 3 different AEs.,11,Comparison,Adverse Events,Les 2 corrects,0.03389830508474576,0.1111111111111111,165.0,1.0,29.0,0.0,0.0,0.0,195.0,0.0,1.0,1.0,148.0,20.0,1.0,1.0
257,"Outcome Measurement: 
  Change From Baseline in Patient-specified and Reported Symptoms on the Measure Yourself Medical Outcome Profile (MYMOP)
  MYMOP is a questionnaire widely used for evaluating interventions based on holistic and participative principles. It enables respondants to specify and measure the treatment outcomes that are important to them.
  Time frame: Before 7th acupuncture treatment

Outcome Measurement: 
  Change in Isothiocyanate in Urine Samples as Assessed at Baseline and After Completion of Study Therapy
  Isothiocyante including sulforaphane in micromolar (µM) concentration was measured following standard chemical measurement procedures and divided by the creatinine values in millimolar (mM) concentration.
  Time frame: Baseline and end of study (up to 8 weeks)",Neither the secondary trial or the primary trial use the Number of Participants With Treatment-emergent Aes as the outcome measurement for their studies.,11,Comparison,Results,Les 2 corrects,0.07608695652173914,0.35,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,108.0,24.0,1.0,1.0
258,"Adverse Events 1:
  Total: 0/42 (0.00%)

Adverse Events 1:
  Total: 6/6 (100.00%)
  Anemia1/6 (16.67%)
  Constipation1/6 (16.67%)
  Mucositis1/6 (16.67%)
  Vomiting0/6 (0.00%)
  Dehydration0/6 (0.00%)
  Abdominal pain0/6 (0.00%)
  Small intestinal obstruction0/6 (0.00%)
  Nausea0/6 (0.00%)
  Ascites0/6 (0.00%)
  Diarrhea0/6 (0.00%)
  Fatigue0/6 (0.00%)
  Death NOS1/6 (16.67%)
  Infection with grade 3 or 4 neutrophils0/6 (0.00%)
Adverse Events 2:
  Total: 6/6 (100.00%)
  Anemia0/6 (0.00%)
  Constipation0/6 (0.00%)
  Mucositis2/6 (33.33%)
  Vomiting1/6 (16.67%)
  Dehydration1/6 (16.67%)
  Abdominal pain0/6 (0.00%)
  Small intestinal obstruction0/6 (0.00%)
  Nausea0/6 (0.00%)
  Ascites0/6 (0.00%)
  Diarrhea0/6 (0.00%)
  Fatigue0/6 (0.00%)
  Death NOS0/6 (0.00%)
  Infection with grade 3 or 4 neutrophils1/6 (16.67%)","There were no patients with recorded Aes in the primary trial, whereas every patient in the secondary trial suffered at least one adverse event.",01,Comparison,Adverse Events,P1✗ KATE✓,0.03225806451612903,0.09523809523809523,165.0,0.0,29.0,0.0,0.0,0.0,194.0,0.0,1.0,1.0,148.0,24.0,1.0,1.0
259,"INTERVENTION 1: 
  Lenalidomide
  Participants received lenalidomide 5mg orally daily for 57 +/- 3 days

INTERVENTION 1: 
  Lapatinib 1500 mg
  Oral lapatinib (1500 milligrams [mg] daily) for 6 weeks, followed by lapatinib plus weekly paclitaxel (80 mg per meters squared [mg/m^2]) intravenous (IV) for an additional 12 weeks",the primary trial uses higher doses of Lenalidomide than the secondary trial uses of Lapatinib in intervention 1.,00,Comparison,Intervention,Les 2 en erreur,0.08888888888888889,0.2857142857142857,20.0,1.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,48.0,18.0,1.0,1.0
260,"Outcome Measurement: 
  Time to Progression
  Time to Progression (TTP) is defined as the time (in months) from the moment the patient starts the study treatment to the date of progressive disease. That is, a patient has an event is she progresses or dies due to progressive disease. Progression is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0).
  Time frame: After 1 year from the treatment start day.

Outcome Measurement: 
  Number of Participants With Objective Response Based on Data Review Committee's Assessment
  Number of participants with objective response based on assessment of confirmed complete response (CR) or confirmed partial response (PR) according to Response Evaluation Criteria in Solid Tumors version 1.0 (RECIST). CR is defined as disappearance of all target and non-target lesions. PR is defined as 30% decrease in sum of the longest dimensions (LDs) of the target lesions taking as reference the baseline sum LD according to RECIST. Confirmed responses are those that persist on repeat evaluation 4 weeks after initial documentation of response.
  Time frame: Day 1 of Cycle 2, every 6 weeks after Cycle 2, and at the end of Cycle 8.","the primary trial reports the Time to Progression in months for a total of 156 patients across the two cohorts, on the other hand, the secondary trial reports the number of patients that experience Objective Response",01,Comparison,Results,P1✗ KATE✓,0.11711711711711711,0.48148148148148145,13.0,3.0,1.0,0.0,3.0,0.0,20.0,1.0,0.0,1.0,192.0,36.0,1.0,1.0
261,"Adverse Events 1:
  Total: 14/75 (18.67%)
  Anemia 3/75 (4.00%)
  Febrile Neutropenia 0/75 (0.00%)
  Neutrophil Count 1/75 (1.33%)
  Thromboembolic event 1/75 (1.33%)
  Chest Pain 0/75 (0.00%)
  Diarrhea 1/75 (1.33%)
  Dry Mouth 1/75 (1.33%)
  Mucositis Oral 1/75 (1.33%)
  Fatigue 1/75 (1.33%)
  Pain 1/75 (1.33%)
  Bladder Infection 1/75 (1.33%)
  Lung Infection 1/75 (1.33%)

Adverse Events 1:
  Total: 0/7 (0.00%)","There were more cases of Mucositis Oral, Bladder Infection and Thromboembolic events recorded in the primary trial than in the secondary trial",11,Comparison,Adverse Events,Les 2 corrects,0.13333333333333333,0.3157894736842105,87.0,0.0,14.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,84.0,22.0,1.0,1.0
262,"INTERVENTION 1: 
  Massage
  Patients received 3 massage therapy visits from massage therapists in initial week with a duration of 15-45 minutes.NOTE: Intervention 'management of therapy complications' has not been included in any Arm/Group Descriptions.
  Patients were intended to receive pain therapy, psychosocial assessment and care, and quality-of-life assessment
  management of therapy complications
  massage therapy
  pain therapy
  psychosocial assessment and care
  quality-of-life assessment
INTERVENTION 2: 
  No-touch Control
  Patients received 3 no-touch therapy visits from massage therapists who provided no-touch without healing intention.Patients were intended to receive pain therapy, psychosocial assessment and care, and quality-of-life assessment
  management of therapy complications
  massage therapy
  pain therapy
  psychosocial assessment and care
  quality-of-life assessment

INTERVENTION 1: 
  PF-06647020 0.2 mg/kg（Q3W Regimen）
  Participants enrolled in the dose escalation phase received PF-06647020 at 0.2 mg/kg on Day 1 of each 21-day cycle as an intravenous (IV) infusion over approximately 60 minutes on an outpatient basis. Each participant received PF-06647020 until disease progression, unacceptable toxicity, withdrawal of consent, or study termination.
INTERVENTION 2: 
  PF-06647020 0.5 mg/kg (Q3W Regimen)
  Participants enrolled in the dose escalation phase received PF-06647020 at 0.5 mg/kg on Day 1 of each 21-day cycle as an IV infusion over approximately 60 minutes on an outpatient basis. Each participant received PF-06647020 until disease progression, unacceptable toxicity, withdrawal of consent, or study termination.","the primary trial does not test any drug based treatments, whereas the secondary trial tests two different drugs.",00,Comparison,Intervention,Les 2 en erreur,0.02857142857142857,0.1875,78.0,0.0,0.0,0.0,4.0,0.0,82.0,4.0,1.0,5.0,246.0,18.0,1.0,1.0
263,"Adverse Events 1:
  Total: 5/25 (20.00%)
  Hypertension 1/25 (4.00%)
  Dehydration 1/25 (4.00%)
  Infection With Normal Anc Or Grade 1 Or 2 Neutrophils 2/25 (8.00%)
  Pain 1/25 (4.00%)
  Dyspnea (Shortness Of Breath) 2/25 (8.00%)",5 patients in the primary trial suffered 3 or more adverse events,11,Single,Adverse Events,Les 2 corrects,0.12121212121212122,0.3333333333333333,40.0,2.0,6.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,45.0,12.0,1.0,0.0
264,"INTERVENTION 1: 
  Ph Ib: MCS110 1 mg/kg Q3W + PDR001 100 mg Q3W
  Phase Ib: MCS110 1 mg/kg every 3 weeks (Q3W) + PDR001 100 mg Q3W
INTERVENTION 2: 
  Ph Ib: MCS110 3 mg/kg Q3W + PDR001 100 mg Q3W
  Phase Ib: MCS110 3 mg/kg Q3W + PDR001 100 mg Q3W","All patients in the primary trial receive at least 20mg of MCS110 every 3 weeks, and over 130 mg of PDR001 every other week.",11,Single,Intervention,Les 2 corrects,0.1935483870967742,0.2727272727272727,51.0,12.0,0.0,0.0,9.0,3.0,75.0,0.0,0.0,0.0,51.0,24.0,1.0,0.0
