index,premise,hypothesis,true_label,predicted_label,is_correct,premise_len,hypothesis_len,prompt_len,length_bin,type,section_id
135,"Results 2: 
  Arm/Group Title: Wait-list Control
  Arm/Group Description: Waits six months, and at the end of the six months is offered the option of participating in the peer support program.
  Overall Number of Participants Analyzed: 75

Results 2: 
  Arm/Group Title: Device + (Standard of Care) SOC
  Arm/Group Description: Use of the device in addition to the standard of care lumpectomy procedure.
  MarginProbe: Device use to assess margin status of the excised specimen surface.
  Lumpectomy: Standard of care lumpectomy procedure
  Overall Number of Participants Analyzed: 163",cohort 2 of the secondary trial produced better results than cohort 2 of the primary trial.,Contradiction,Contradiction,True,585,91,676,Moyen,Comparison,Results
136,"Outcome Measurement: 
  Overall Response Rate
  To describe the overall response rate as measured by physical exam and MRI if indicated using the following definition: Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0) for target lesions: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), >=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR.
  Time frame: Up to 8 months
Results 1: 
  Arm/Group Title: Arm A
  Arm/Group Description: Arm A: Epirubicin 90 mg/m2 day 1 IV and Cyclophosphamide 600 mg/m2 day 1 IV q 3 weeks for 4 cycles, then surgery, then Docetaxel 75 mg/m2 IV day 1 plus Capecitabine 1000 mg/m2/dose po bid x 14 days q 3 weeks for 4 cycles, then radiation therapy as indicated. Post surgical chemotherapy must be initiated within 35 days after completion of definitive surgical treatment
  Epirubicin: Epirubicin 90 mg/m2 d1 q3w
  Cyclophosphamide: Cyclophosphamide 600 mg/m2 d1 q3w
  Radiation Therapy: Standard dosing, fields depending on clinical findings
  Overall Number of Participants Analyzed: 37
  Measure Type: Count of Participants
  Unit of Measure: Participants  25  67.6%
Results 2: 
  Arm/Group Title: Arm B
  Arm/Group Description: Arm B: Docetaxel 75 mg/m2 IV day 1 plus Capecitabine 1000 mg/m2/dose po bid x 14 days q 3 weeks for 4 cycles, then surgery, then Epirubicin 90 mg/m2 day 1 IV and Cyclophosphamide 600 mg/m2 day 1 IV q 3 weeks for 4 cycles, then radiation therapy as indicated. Post surgical chemotherapy must be initiated within 35 days after completion of definitive surgical treatment
  Docetaxel: Docetaxel 75 mg/m2 d1 q3w
  Capecitabine: Capecitabine 1000 mg/m2/dose bid x 14d q3w
  Radiation Therapy: Standard dosing, fields depending on clinical findings
  Overall Number of Participants Analyzed: 35
  Measure Type: Count of Participants
  Unit of Measure: Participants  21  60.0%

Outcome Measurement: 
  Time to First On-Study Skeletal Related Event (SRE) (Non-inferiority)
  Time to first on-study skeletal-related event (SRE) using a non-inferiority analysis. The median time to first skeletal-related event could not be estimated in one treatment arm, so the subject incidence is presented.
  Time frame: Up to 34 months
Results 1: 
  Arm/Group Title: Zoledronic Acid
  Arm/Group Description: Zoledronic acid 4 mg by intravenous injection with subcutaneous denosumab placebo once every 4 weeks
  Overall Number of Participants Analyzed: 1020
  Measure Type: Number
  Unit of Measure: Participants  372
Results 2: 
  Arm/Group Title: Denosumab
  Arm/Group Description: Denomsumab 120 mg subcutaneously with intravenous zoledronic acid placebo once every 4 weeks
  Overall Number of Participants Analyzed: 1026
  Measure Type: Number
  Unit of Measure: Participants  315","The results from the primary trial indicate that the Arm A intervention better overall response rate than the placebo arm, additionally, in the secondary trial the Denosumab cohort had a better Time to First On-Study SRE than the Zoledronic Acid cohort.",Contradiction,Contradiction,True,2824,253,3077,Long,Comparison,Results
137,"INTERVENTION 1: 
  Estring
  Estring 2mg ring inserted vaginally once every 12 weeks
INTERVENTION 2: 
  Testosterone Cream
  Testosterone Cream 1% micronized in velvachol - 0.5 gm of cream vaginally each night for two weeks, then 3 times a week for total of 12 weeks of treatment

INTERVENTION 1: 
  Acupuncture
  Patients in the acupuncture group will receive acupuncture treatment twice weekly for six consecutive weeks.
  Acupuncture: Each treatment will be 30 minutes in duration. Patients will receive two acupuncture treatments each week for six consecutive weeks. Patients will be advised to continue their standard lymphedema treatments such as exercise or use of compression garments if these were in use prior to clinical trial participation.
INTERVENTION 2: 
  Wait-list
  Patients in the wait-list control group will cross over and receive acupuncture twice weekly for 6 consecutive weeks.
  Wait-list: For participants in the wait-list control group, follow-up objective and subjective assessments of lymphedema will be performed after approximately 6 weeks on the wait-list, before onset of acupuncture treatment, following 6 weeks of acupuncture treatment and about 3 months after completion of treatment. BMI will be measured at the same timepoints.","the primary trial is using topical interventions, and the secondary trial is testing an Inhalation intervention.",Contradiction,Contradiction,True,1265,112,1377,Long,Comparison,Intervention
138,"Outcome Measurement: 
  Incidence of Dose-limiting Toxicity (DLT), Graded Using the National Cancer Institute (NCI) Common Toxicity Criteria (CTC) Version 4.0 (Phase I)
  Dose-Limiting Toxicities are assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events classification and usually encompasses all grade 3 or higher toxicities
  Time frame: 28 days
Results 1: 
  Arm/Group Title: Ixabepilone 24mg/m2 and Doxorubicin 30mg/m2: Level 1
  Arm/Group Description: Ixabepilone IV over 3 hours and pegylated liposomal doxorubicin hydrochloride IV over 30-60 minutes on day 1 every 21 days
  ixabepilone: Given IV
  pegylated liposomal doxorubicin hydrochloride: Given IV
  Overall Number of Participants Analyzed: 6
  Measure Type: Number
  Unit of Measure: participants  1
Results 2: 
  Arm/Group Title: Ixabepilone 32mg/m2 and Doxorubicin 30mg/m2: Level 2
  Arm/Group Description: Ixabepilone IV over 3 hours and pegylated liposomal doxorubicin hydrochloride IV over 30-60 minutes on day 1 every 21 days
  ixabepilone: Given IV
  pegylated liposomal doxorubicin hydrochloride: Given IV
  Overall Number of Participants Analyzed: 6
  Measure Type: Number
  Unit of Measure: participants  1","In total two patients from the primary trial suffered an Incidence of Dose-limiting Toxicity, both from cohort 2.",Contradiction,Contradiction,True,1228,113,1341,Long,Single,Results
139,"Adverse Events 1:
  Total: 0/34 (0.00%)

Adverse Events 1:
  Total: 0/27 (0.00%)
Adverse Events 2:
  Total: 0/27 (0.00%)",the primary trial and the secondary trial recorded the same number of adverse events in their cohorts.,Entailment,Entailment,True,120,102,222,Court,Comparison,Adverse Events
140,"INTERVENTION 1: 
  Arm I (Zoledroic Acid)
  Beginning 60-90 days after surgery, patients receive zoledronate IV over 15 minutes once in months 3, 9, and 15.
  Laboratory Biomarker Analysis: Correlative studies
  Zoledronic Acid: Given IV

INTERVENTION 1: 
  Arm II
  Patients receive granisetron hydrochloride IV, dexamethasone IV, and oral placebo once on day 1 and oral prochlorperazine 3 times daily and another oral placebo once daily on days 2 and 3.
  placebo : Given orally
  prochlorperazine : Given orally or IV
  granisetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV
INTERVENTION 2: 
  Arm III
  Patients receive palonosetron hydrochloride IV and dexamethasone IV once on day 1, oral aprepitant once daily on days 1-3, and oral dexamethasone once daily and oral placebo twice daily on days 2 and 3.
  placebo : Given orally
  aprepitant : Given orally or IV
  palonosetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV","The intervention 1 in the primary trial is administered by IV, and all intervention drugs in the secondary trial can be administered orally.",Entailment,Contradiction,False,984,140,1124,Long,Comparison,Intervention
141,"Exclusion Criteria:
  The participant has undergone major surgery within 28 days prior to the study registration date

Inclusion Criteria:
  18 to 55 years old
  Metastatic breast carcinoma.
  Histological confirmation of invasive breast carcinoma
  Complete or partial response to pre-transplant standard-dose chemotherapy, or hormonal therapy. For bone disease, stable disease (SD) is allowed.
  Patient must have tumor assessed for estrogen-receptor (ER) and progesterone-receptor (PR).
  Persistent detectable or non-detectable CTCs by Veridex Technology after completion of standard therapy.
  Zubrod performance status 0 or 1.
  Patients must have adequate hematological parameters (White Blood Count/WBC >= 3,000/mm3; platelet count >= 100,000/mm3)
  Adequate renal function (serum creatinine <= 1.5mg/dl)
  Adequate liver function (total bilirubin, serum glutamate pyruvate transaminase (SGPT) <= 2 times normal).
  Adequate cardiac function (Left ventricular ejection fraction (LVEF)>= 50%).
  Adequate pulmonary function (Carbon Monoxide Diffusing Capacity (DLCO)>= 50% of predicted value).
  Females of childbearing (women who are post-menopausal < 1 year, not surgically sterilized, or not abstinent) potential must use adequate contraception.
  Patients must sign an informed consent.
Exclusion Criteria:
  Prior HDCT with Autologous hematopoietic stem cell transplantation (AHST) in adjuvant setting.
  History or presence of brain/leptomeningeal metastasis.
  History of other malignancies except cured non-melanoma skin cancer or cured cervical carcinoma in situ.
  Presence of other severe medical illnesses or conditions. Severe heart disease, (myocardial ischemia, myocardial infarction, etc.) Pulmonary disease (COPD, asthma,etc). Renal failure and hepatic failure.
  Clinically significant active infections (patient requiring IV antibiotics, uncontrolled infections, or hospitalized due to infections).
  HIV infection.
  Pregnant or lactating women.
  Medical, social or psychologic factors which would prevent the patient from receiving or cooperating with the full course of therapy or understanding the informed consent procedure.","a patient that has received an organ transplant within the last month, would be excluded from the primary trial but may be eligible for the secondary trial",Entailment,Contradiction,False,2156,155,2311,Long,Comparison,Eligibility
142,"INTERVENTION 1: 
  SUNITINIB+CAPECITABINE
  Sunitinib was administered orally from Day 1 at the starting dose of 37.5 mg/day on a continuous daily dosing schedule in 21-day cycles. Capecitabine was administered orally from Days 1 to 14 every 21 days at a starting dose of 2,000 mg/m^2/day. Participants were monitored for toxicity, and sunitinib and/or capecitabine dosing could be interrupted or reduced according to individual tolerance. Participants with progressive disease (PD) or intolerable toxicity were considered for discontinuation from the study.","Sunitinib was administered orally every day, to every patient in the primary trial for the entire duration of the study.",Entailment,Contradiction,False,558,120,678,Moyen,Single,Intervention
143,"Outcome Measurement: 
  Hot Flash Frequency
  Prospective, real-time electronic diary used by participants for a minimum of 24 hours to a maximum of 7 days. Duration of use was determined by participant choice.
  Time frame: 16 weeks
Results 1: 
  Arm/Group Title: Paced Respiration
  Arm/Group Description: The paced respiration intervention group received a compact disc with paper booklet. The booklet reinforced instructions on the first audio track for how to accomplish a target breath rate of 6-8 breaths per minute, practice twice per day for 15 minutes, and apply the breathing at the onset of each hot flash. Women were instructed to do slow, deep, abdominal breathing in through the nose and out through the mouth as per international recommendations. They were also instructed to practice twice per day for 15 minutes as per the small, laboratory-based studies. The second and third tracks contained specially composed, digitally recorded music to help entrain the breath rate and structure the length of practice.
  Overall Number of Participants Analyzed: 88
  Mean (Standard Deviation)
  Unit of Measure: Hot flashes per 24 hr  3.48         (3.45)
Results 2: 
  Arm/Group Title: Fast, Shallow Breathing
  Arm/Group Description: The fast, shallow comparator group received a digital videodisc with paper booklet. The booklet reinforced voice-over and video demonstration to practice twice per day and apply the fast shallow breathing at the onset of each flash.
  Overall Number of Participants Analyzed: 86
  Mean (Standard Deviation)
  Unit of Measure: Hot flashes per 24 hr  3.95         (4.19)","the primary trial patients in The paced respiration intervention group suffered more Treatment Emergent Adverse Events and Serious Treatment Emergent Adverse Events on average than patients in the The fast, shallow respiration group.",Contradiction,Contradiction,True,1611,233,1844,Long,Single,Results
144,"Aged greater than 20 years.

Inclusion Criteria:
  Women and men ages 18 or older","women aged 18 or 19 are eligible for the secondary trial, but will need to wait 1-2 years to be eligible for the primary trial",Entailment,Contradiction,False,81,126,207,Court,Comparison,Eligibility
145,"Outcome Measurement: 
  Number of Participants With Reduction in CTCs Following High-dose Chemotherapy With Purged Autologous Stem Cell Products
  Number of circulating tumor cells (CTCs) measured at one month post autologous hematopoietic stem cell transplantation (AHST), considered both as longitudinal values and compared to the baseline number of CTCs.
  Time frame: Baseline to 1 month post AHST
Results 1: 
  Arm/Group Title: High-dose Chemotherapy
  Arm/Group Description: Carboplatin + Cyclophosphamide + Thiotepa
  Carboplatin : Target AUC of 20, then divided into 4 doses given by vein (IV) days -6, -5, -4, -3 prior to stem cell infusion.
  Thiotepa : 120 mg/m^2 by vein days -6, -5, -4, -3 prior to stem cell infusion.
  Stem Cell Transplant : Stem Cell Transplant on Day 0.
  Cyclophosphamide : 1.5 gm/m^2 by vein days -6, -5, -4, -3 prior to stem cell infusion.
  Overall Number of Participants Analyzed: 21
  Measure Type: Number
  Unit of Measure: participants  9",less than half of the primary trial participants had a Reduction in circulating tumor cells Following High-dose Chemotherapy With Purged Autologous Stem Cell Products,Entailment,Contradiction,False,980,166,1146,Long,Single,Results
146,"INTERVENTION 1: 
  Alpha Lipoic Acid
  Oral administration three times daily (morning, mid-day, night)
  Alpha lipoic acid: The baseline dose is 100 mg three times daily for four months. Dose escalation will occur until a maximum tolerated dose is found.

INTERVENTION 1: 
  Necitumumab Cohort 1 Day 3 Run-in
  Necitumumab administered on Day 3 of the 3-week PK run-in period as an IV infusion at an absolute dose of 800 mg. Participants in Cohort 1 received necitumumab Process C drug product.","Patients in the primary trial will receive higher doses of Alpha Lipoic Acid throughout the study duration, whereas, patients in cohort 1 of the secondary trial receive the same dose of Necitumumab for the entire duration of the trial.",Entailment,Entailment,True,494,235,729,Moyen,Comparison,Intervention
147,"INTERVENTION 1: 
  Sunitinib + Paclitaxel
  Starting sunitinib doses of 25 mg daily. After Cycle 1, escalation to 37.5 mg daily was permitted in the absence of complicated neutropenia and if all 3 Cycle 1 paclitaxel doses were successfully administered at 90 mg/m^2, at discretion of the investigator. Paclitaxel could have been reduced to 65 mg/m^2 based on tolerability; re-escalation to 80 or 90 mg/m^2 upon recovery was permitted.
INTERVENTION 2: 
  Bevacizumab + Paclitaxel
  Bevacizumab 10 mg/kg; infusion duration according to standard of care. Paclitaxel starting dose of 90 mg/m^2, as a 1 hour infusion. Paclitaxel could have been reduced to 65 mg/m^2 based on tolerability; re-escalation to 80 or 90 mg/m^2 upon recovery was permitted.","The difference between cohort 1 and 2 of the primary trial is that cohort 1 is administered 25 mg to 37.5 mg of sunitinib daily, whereas cohort 2 recieves 10 mg/kg of Bevacizumab",Entailment,Entailment,True,745,178,923,Moyen,Single,Intervention
148,HER2 positive tumor (either IHC 3+ or FISH+),"All the primary trial candidates must have a HER2 positive tumor confirmed by IHC 3+, aswell as Requiring considerable assistance and frequent medical care",Contradiction,Contradiction,True,44,155,199,Court,Single,Eligibility
149,"Outcome Measurement: 
  Overall Response Rate
  To describe the overall response rate as measured by physical exam and MRI if indicated using the following definition: Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0) for target lesions: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), >=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR.
  Time frame: Up to 8 months
Results 1: 
  Arm/Group Title: Arm A
  Arm/Group Description: Arm A: Epirubicin 90 mg/m2 day 1 IV and Cyclophosphamide 600 mg/m2 day 1 IV q 3 weeks for 4 cycles, then surgery, then Docetaxel 75 mg/m2 IV day 1 plus Capecitabine 1000 mg/m2/dose po bid x 14 days q 3 weeks for 4 cycles, then radiation therapy as indicated. Post surgical chemotherapy must be initiated within 35 days after completion of definitive surgical treatment
  Epirubicin: Epirubicin 90 mg/m2 d1 q3w
  Cyclophosphamide: Cyclophosphamide 600 mg/m2 d1 q3w
  Radiation Therapy: Standard dosing, fields depending on clinical findings
  Overall Number of Participants Analyzed: 37
  Measure Type: Count of Participants
  Unit of Measure: Participants  25  67.6%
Results 2: 
  Arm/Group Title: Arm B
  Arm/Group Description: Arm B: Docetaxel 75 mg/m2 IV day 1 plus Capecitabine 1000 mg/m2/dose po bid x 14 days q 3 weeks for 4 cycles, then surgery, then Epirubicin 90 mg/m2 day 1 IV and Cyclophosphamide 600 mg/m2 day 1 IV q 3 weeks for 4 cycles, then radiation therapy as indicated. Post surgical chemotherapy must be initiated within 35 days after completion of definitive surgical treatment
  Docetaxel: Docetaxel 75 mg/m2 d1 q3w
  Capecitabine: Capecitabine 1000 mg/m2/dose bid x 14d q3w
  Radiation Therapy: Standard dosing, fields depending on clinical findings
  Overall Number of Participants Analyzed: 35
  Measure Type: Count of Participants
  Unit of Measure: Participants  21  60.0%

Outcome Measurement: 
  Time to First On-Study Skeletal Related Event (SRE) (Non-inferiority)
  Time to first on-study skeletal-related event (SRE) using a non-inferiority analysis. The median time to first skeletal-related event could not be estimated in one treatment arm, so the subject incidence is presented.
  Time frame: Up to 34 months
Results 1: 
  Arm/Group Title: Zoledronic Acid
  Arm/Group Description: Zoledronic acid 4 mg by intravenous injection with subcutaneous denosumab placebo once every 4 weeks
  Overall Number of Participants Analyzed: 1020
  Measure Type: Number
  Unit of Measure: Participants  372
Results 2: 
  Arm/Group Title: Denosumab
  Arm/Group Description: Denomsumab 120 mg subcutaneously with intravenous zoledronic acid placebo once every 4 weeks
  Overall Number of Participants Analyzed: 1026
  Measure Type: Number
  Unit of Measure: Participants  315","The results from the primary trial indicate that the Arm A intervention provided the best overall response rate, additionally, in the secondary trial the Denosumab cohort had a worse Time to First On-Study SRE than the Zoledronic Acid cohort.",Entailment,Entailment,True,2824,242,3066,Long,Comparison,Results
150,"NUT midline carcinoma (ectopic expression of NUT protein as determined by immunohistochemistry (IHC) and/or detection of BRD-NUT gene translocation as determined by fluorescence In situ hybridization [FISH]);

Inclusion Criteria:
  a diagnosis of non-inflammatory breast adenocarcinoma (including in situ and bilateral)
  scheduled to begin radiotherapy without concurrent chemotherapy; concurrent hormone or Herceptin® (trastuzumab)treatment is okay
  can have been treated by lumpectomy or mastectomy with or without adjuvant or neoadjuvant chemotherapy or hormonal treatment
  can have had breast reconstruction
  scheduled to receive 25-35 radiation treatment sessions (1 session per day) using standard irradiation fractionation (1.8-2.0 Gy per sessions) OR 16-20 radiation treatment sessions (1 session per day) using Canadian irradiation fractionation (2.2-3.0 Gy per session)(100, 101).
  able to swallow medication.
  three weeks must have elapsed after chemotherapy and surgery before the patient can begin the study
  able to understand English
Exclusion Criteria:
  inflammatory breast cancer
  previous radiation therapy to the breast or chest
  concurrent chemotherapy treatment
  concurrent treatment with anti-coagulants (e.g., coumadin®, warfarin®), or anti-EGFR (human epidermal growth factor receptor) drugs (e.g. Iressa® (gefitinib), Erbitux® (cetuximab, C225); aspirin is allowed
  known radiosensitivity syndromes (e.g., Ataxia-telangiectasia)
  collagen vascular disease, unhealed surgical sites, or breast infections","Patients with NUT midline carcinoma or Castrate-resistant prostate cancer, determined by fluorescence In situ hybridization, or inflammatory breast cancer are eligible for both the primary trial and the secondary trial.",Entailment,Contradiction,False,1540,219,1759,Long,Comparison,Eligibility
151,"INTERVENTION 1: 
  Radiation Therapy
  Women with any non-metastatic breast cancer status post lumpectomy to negative margins and who are receiving whole breast irradiation as per standard treatment plan.
  Radiation therapy: Patients will receive whole breast radiation therapy at a dose of 180-200 cGy per fraction for 23-27 fractions to a total dose of 4600 - 4860 cGy. Additional radiation to the lumpectomy bed (Boost) is at the discretion of the treating physician. The total dose to the tumor bed cannot exceed 6600 cGy.

INTERVENTION 1: 
  Enzastaurin + Fulvestrant QD + BID
  Participants received Enzastaurin loading dose of 1125 mg, on Day 1 of Cycle 1 only then received Enzastaurin 500 mg orally (QD) once daily in a 28-day cycle.
  Participants received enzastaurin loading dose of 1125 mg, on Day 1 of Cycle 1 only then received Enzastaurin 250 mg orally (BID) twice daily in a 28-day cycle.
  Fulvestrant was given intramuscularly at a loading dose of 500 mg on Day 1 and 250 mg on Day 15 in Cycle 1. Subsequent doses of Fulvestrant 250 mg were given on Day 1 of Cycle 2 and every 28 days thereafter.
.
INTERVENTION 2: 
  Enzastaurin + Fulvestrant BID
  Participants received enzastaurin (250 mg; 2 tablets) or placebo administered orally twice daily (BID) in a 28-day cycle, until disease progression. Fulvestrant was given intramuscularly at a loading dose of 500 mg on Day 1 and 250 mg on Day 15 in Cycle 1. Subsequent doses of Fulvestrant 250 mg were given on Day 1 of Cycle 2 and every 28 days thereafter.","the primary trial participants receive whole breast radiation therapy , and both cohorts of the secondary trial receive 500 mg of Fulvestrant in a tablet form to be taken BID.",Contradiction,Contradiction,True,1526,175,1701,Long,Comparison,Intervention
152,"Adverse Events 1:
  Total: 4/37 (10.81%)
  Anaemia 0/37 (0.00%)
  Febrile neutropenia 0/37 (0.00%)
  Leukopenia 0/37 (0.00%)
  Neutropenia 0/37 (0.00%)
  Arrhythmia 0/37 (0.00%)
  Abdominal pain 1/37 (2.70%)
  Diarrhoea 1/37 (2.70%)
  Intestinal obstruction 0/37 (0.00%)
  Vomiting 0/37 (0.00%)
  Fatigue 0/37 (0.00%)
  Pyrexia 0/37 (0.00%)
  Cholecystitis acute 0/37 (0.00%)
  Cholestasis 0/37 (0.00%)
Adverse Events 2:
  Total: 25/75 (33.33%)
  Anaemia 2/75 (2.67%)
  Febrile neutropenia 2/75 (2.67%)
  Leukopenia 1/75 (1.33%)
  Neutropenia 10/75 (13.33%)
  Arrhythmia 1/75 (1.33%)
  Abdominal pain 0/75 (0.00%)
  Diarrhoea 0/75 (0.00%)
  Intestinal obstruction 1/75 (1.33%)
  Vomiting 1/75 (1.33%)
  Fatigue 1/75 (1.33%)
  Pyrexia 2/75 (2.67%)
  Cholecystitis acute 1/75 (1.33%)
  Cholestasis 0/75 (0.00%)

Adverse Events 1:
  Total: 38/93 (40.86%)
  Anemia 4/93 (4.30%)
  Febrile neutropenia 1/93 (1.08%)
  Atrial fibrillation 1/93 (1.08%)
  Cardiac arrest 1/93 (1.08%)
  Retinopathy 1/93 (1.08%)
  Abdominal distension 1/93 (1.08%)
  Abdominal pain 6/93 (6.45%)
  Colitis 1/93 (1.08%)
  Constipation 1/93 (1.08%)
  Diarrhea 4/93 (4.30%)
  Duodenal ulcer 1/93 (1.08%)
  Dysphagia 4/93 (4.30%)",Several patients in the secondary trial and the primary trial suffered from Tumour lysis syndrome,Contradiction,Contradiction,True,1196,97,1293,Long,Comparison,Adverse Events
153,"Adverse Events 1:
  Total: 0/3 (0.00%)

Adverse Events 1:
  Total: 4/14 (28.57%)
  Duodenitis  [1]1/14 (7.14%)
  Gastrooesophageal reflux disease  [1]1/14 (7.14%)
  Vomiting  [1]1/14 (7.14%)
  Ascites  [1]1/14 (7.14%)
  Haematemesis  [1]1/14 (7.14%)
  Death  [1]1/14 (7.14%)
  Asthenia  [1]1/14 (7.14%)
  General physical health deterioration  [1]1/14 (7.14%)
  Bronchopneumonia  [1]1/14 (7.14%)
  Pneumonia  [1]1/14 (7.14%)",There are more cases of Bronchopneumonia and General physical health deterioration in the primary trial than in the secondary trial.,Contradiction,Entailment,False,424,132,556,Moyen,Comparison,Adverse Events
154,"Outcome Measurement: 
  Lesions
  Number of lesions detected
  Time frame: at time of read by two radiologiests, compared to biopsy within 7 days.
Results 1: 
  Arm/Group Title: Healthy Volunteers
  Overall Number of Participants Analyzed: 8
  Measure Type: Number
  Unit of Measure: lesions  0

Outcome Measurement: 
  Number of Participants Whom Received Medihoney Treatment and Were Analyzed Weekly for Skin Changes While Undergoing Radiation Therapy
  The aim of this study is to compare the effects of Medihoney and Hydrophor on radiation dermatitis reactions in a group of women undergoing radiation therapy for breast cancer. It is hoped that the outcome of this pilot study will provide evidence supporting the use of Medihoney in preventing and treating radiation dermatitis as well as sufficient preliminary data to expand this study to larger, federally funded research (R01) looking at the beneficial aspects of Medihoney across a spectrum of radiation dermatitis and mucositis in several disease settings.
Results 1: 
  Arm/Group Title: Hydrophor (Group A)
  Arm/Group Description: Group A (current standard of care): Patients will be instructed (by nurses and with printed study materials) to apply a thin layer of the Hydrophor daily, starting at the onset of radiation therapy (RT) and continuing until 2 weeks after the final RT session or until the RT site is healed (whichever is first). Hydrophor application should include the entire treatment area, including the axillae and shoulder/back area in patients treated with modified radical mastectomy. To avoid possible build-up effects, patients should not apply the Hydrophor within 4 hours of receiving RT. Patients should wash the application area daily with perfume-free soap and tap water. Patients will be asked to refrain from using other topical agents in the irradiated area.
  Hydrophor (Group A): Rehydrates dry, chapped or chafed skin
May be used alone as a skin lubricant or protectant
  Overall Number of Participants Analyzed: 16
  Measure Type: Number
  Unit of Measure: participants  radiation dermatitis: 15
  hyperpigmentation: 15","Not a single one of the participants in group 1 of the primary trial were found to have lesions, and more than 95% of particpants in group 1 of the secondary trial had radiation dermatitis and hyperpigmentation.",Contradiction,Contradiction,True,2118,211,2329,Long,Comparison,Results
155,"Outcome Measurement: 
  Change in Cognitive Function Over 1 Year in Premenopausal Breast Cancer Patients Who Receive Adjuvant Tamoxifen (T) Alone Against Those Receive Adjuvant Tamoxifen (T+OFS) or Exemestane (E+OFS) With Ovarian Function Suppression (OFS)
  Objective cognitive function measured with CogState, a computerized test battery of 7 tasks: Detection, Identification, Monitoring, Memory, Learning, International Shopping List Task (ISLT) and ISLT-Delayed Recall. Performance speed is measured for Detection/Identification/Monitoring and performance accuracy is measured for Memory/Learning/ISLT/ISLT-Delayed Recall. Performance speed calculated as mean of the log10 transformed reaction time for correct responses (lower score=better); performance accuracy calculated as arcsine transformation of the proportion of correct responses (higher scores=better). Main outcome measure is a composite score (average of task scores after transformation and standardization by age-specific norms). A positive standardized score indicates that a patient performed better than average; a negative standardized score indicates below average results. Patients complete assessments at baseline and 1 year after randomization to parent IBCSG 24-02 (SOFT) study.
  Time frame: 1 year after patient randomization to parent IBCSG 24-02 study
Results 1: 
  Arm/Group Title: Tamoxifen
  Arm/Group Description: Tamoxifen 20mg orally daily for 5 years
  Overall Number of Participants Analyzed: 20
  Mean (Standard Deviation)
  Unit of Measure: standardized units  -.04         (0.49)
Results 2: 
  Arm/Group Title: Ovarian Function Suppression
  Arm/Group Description: Tamoxifen 20mg orally daily or Exemestane 25mg orally daily for 5 years plus ovarian function suppression (OFS; triptorelin (GnRH analogue) 3.75 mg by im injection q28 days for 5 years; or surgical oophorectomy; or ovarian irradiation)
  Note: Data were collected separately for the T+OFS and E+OFS participants in the parent study, IBCSG 24-02 (SOFT). The sample size for this Co-SOFT substudy was small, so the analysis plan was revised to pre-specify collective analysis for all patients receiving OFS.
  Overall Number of Participants Analyzed: 54
  Mean (Standard Deviation)
  Unit of Measure: standardized units  -0.21         (0.92)","all participants in the primary trial suffered a deterioration in cognitive function, particularly those in the Ovarian Function Suppression group",Contradiction,Contradiction,True,2297,146,2443,Long,Single,Results
156,"Outcome Measurement: 
  The Efficacy of GTx-024 on Total Body Lean Mass.
  Change in total body lean mass as measured by dual energy x-ray absorptiometry (DEXA)from baseline to 4 months.
  Time frame: Baseline to Four Months
Results 1: 
  Arm/Group Title: GTx-024 1 mg
  Arm/Group Description: [Not Specified]
  Overall Number of Participants Analyzed: 32
  Median (Full Range)
  Unit of Measure: kg  1.55        (-2.06 to 12.64)",at least one patient treated with GTx-024 1mg in the primary trial gained over 10 kilos of Lean body Mass.,Entailment,Entailment,True,429,106,535,Moyen,Single,Results
157,"Outcome Measurement: 
  Number of Emesis Free Participants During the Study Period.
  To compare the efficacy of aprepitant plus standard therapy to placebo plus standard therapy in control of nausea and vomiting during conditioning therapy for autologous or allogeneic hematopoietic stem cell transplantation (HSCT) as defined by the number of retch/emesis free days during the study period
  Time frame: Up to three weeks
Results 1: 
  Arm/Group Title: Aprepitant
  Arm/Group Description: Loading dose of 125 mg capsule once a day for one day, then maintenance dose of 80 mg capsule daily through Day +4 of Bone Marrow Transplant
  Overall Number of Participants Analyzed: 20
  Measure Type: Number
  Unit of Measure: Participants  13
Results 2: 
  Arm/Group Title: Placebo (Sugar Pill)
  Arm/Group Description: Loading dose of 125 mg capsule once a day for one day, then maintenance dose of 80 mg capsule daily through Day +4 of Bone Marrow Transplant
  Overall Number of Participants Analyzed: 20
  Measure Type: Number
  Unit of Measure: Participants  5",Patients receiving the placebo intervention in the primary trial were twice as likely to experience emesis as patients receiving Aprepitant.,Entailment,Entailment,True,1058,140,1198,Long,Single,Results
